"HSA Provider
(Click for more details)",State,Monthly Maintenance Fee,Investment Options
Cumberland County Federal Credit Union,ME,,
Currie State Bank,MN,$0.00,
Custer Federal State Bank,NE,,
Dacotah Bank,SD,,
Dairy State Bank,WI,$0.00,
Danville State Savings Bank,IA,$0.00,
DATCU,TX,,
Day Air Credit Union,OH,$0.00,CD
Deerwood Bank,MN,$0.00,
Delta Community Credit Union,GA,$0.00,
Denison State Bank,KS,,
Desco Federal Credit Union,OH,,
Desert Financial Credit Union,AZ,$0.00,
Dieterich Bank,IL,,
Digital Federal Credit Union,MA,$0.00,
Dime Bank,CT,,
DMB Community Bank,WI,$5.00*,
Dow Credit Union,MI,,CD
Dupaco Community Credit Union,IA,$2.00*,
DuTrac Community Credit Union,IA,$2.00*,
Education First Credit Union,OH,$0.00,
Educators Credit Union,WI,$0.00,
EECU,TX,$0.00,SDB
Elevations Credit Union,CO,$0.00,
Embers Credit Union,MI,$0.00,
Empeople Credit Union,IL,$0.00,
Empower Federal Credit Union,NY,$0.00,
Encore Bank,AR,,
Ent Credit Union,CO,$0.00,
Envista Credit Union,KS,$0.00,
Equity Bank,KS,$3.00*,MF SDB
Erie Bank,PA,,
ESL Federal Credit Union,NY,,
Everence Federal Credit Union,IN,$3.00*,MF CD
Everwise Credit Union,IN,$0.00,CD
F & M Community Bank,MN,$0.00,
F&M Bank,TN,$0.00,
Family First of NY Federal Credit Union,NY,$0.00,CD
Family Trust Federal Credit Union,SC,$0.00,
Farm Bureau Bank,NV,$0 - $3*,CD
Farmers & Merchants Bank,IN,,
Farmers & Merchants State Bank,OH,$3.00*,
Farmers & Merchants Union Bank,WI,$0.00,
Farmers and Merchants Bank,CA,$0.00*,
Farmers Bank and Trust,KS,$0.00,
Farmers National Bank,IL,$0.00,
Farmers National Bank,OH,$0.00,
Farmers State Bank,WI,,
FCB Banks,IL,$0.00,
Fidelity Bank,LA,$0.00,
Fidelity Investments,RI,$0.00*,MF SDB CD
Fifth District Savings Bank,LA,$3.00,
Financial Center First Credit Union,IN,$0.00,MF CD
Firefighters Credit Union,IN,,
First Alliance Credit Union,MN,,
First American Bank,IL,$0.00,MF SDB
First Bank,NC,$3.00*,
First Bank,IA,,MF
First Bank,IL,$2.08*,
First Bank & Trust,SD,$2.00*,
First Bank & Trust Company,VA,,
First Bank Hampton,IA,,
First Bank of Manhattan,IL,$2.00*,
First Bank of Wyoming,WY,$0.00,
First Citizens Community Bank,PA,$0.00,
First Citizens National Bank,TN,$3.00,
First Commonwealth Bank,PA,$0.00*,
First Commonwealth Federal Credit Union,PA,$0.00,
First Community Bank,MN,,
First Community Bank,SC,$5.00*,
First Community Credit Union,MO,$0.00,
First Community Credit Union,ND,,
First Community Credit Union,TX,$0.00,
First Dollar,TX,$0.00,SDB
First Entertainment Credit Union,CA,,
First Federal Bank,WI,$0.00,
First Federal Bank of Louisiana,LA,$2.50*,
First Federal Bank of Ohio,OH,$0.00,
First Federal Community Bank,OH,$0.00,
First Federal Lakewood,OH,$0.00,
First Federal Savings Bank,IN,$2.00*,
First Federal Savings,GA,$3.00*,
First Fidelity Bank,OK,$0.00,
First Financial Bank,IN,,
First Financial Bank,OH,$0.00,
First Guaranty Bank,LA,$0.00,
First International Bank & Trust,ND,$3.00*,
First Internet Bank,IN,$0.00,
First Merchants Bank,IN,$0.00,
First National Bank,PA,$0.00,
First National Bank - (OH),OH,,
First National Bank (Iowa),IA,$0.00*,
First National Bank & Trust,IL,$0.00,
First National Bank Alaska,AK,$2.00*,
First National Bank and Trust,WI,$0.00,
First National Bank North,MN,$2.00*,
First National Bank of Elk River,MN,$4.00*,
First National Bank of Michigan,MI,,
First National Bank of Omaha,NE,$3.00*,
First National Bank of River Falls,WI,$0.00,
First National Bank of South Carolina,SC,,
First National Bank Osakis,MN,,
First Northern Bank,CA,$5.00*,
First Oklahoma Bank,OK,$0.00,
First Palmetto Bank,SC,$10.00*,
First Pioneer National Bank,CO,,
First Robinson Savings Bank,IL,$0.00,
First Savings Bank,IN,,
First Security Bank & Trust,IA,,
First Service Credit Union,TX,$0.00,
First Service Federal Credit Union,OH,$0.00,
First Southwest Bank,CO,$0.00,
First State Bank,OH,$0.00,
First State Bank,IA,,
First State Bank (WI),WI,$0.00,
First State Bank & Trust,MO,,
First State Bank and Trust,MN,$2.08,
First State Bank of Bigfork,MN,$0.00,
First State Bank of Wyoming,MN,$0.00,
First State Community Bank,MO,$2.00*,
First U.S. Community Credit Union,CA,,
First United Bank & Trust,MD,$0.00,
First Western Bank & Trust,ND,$0.00*,SDB CD
First Westroads Bank,NE,$0.00*,
FirstBank,CO,$2.08*,
FirstBank,,$0.00,
Firstier Bank,NE,,
Five Star Bank,NY,$0.00,
Flagstar Bank,MI,$5.00*,
Flatwater Bank,NE,,
Flex HSA,IL,$1.75,MF
FM Bank,MN,$3.50,
FNBC Bank & Trust,IL,$2.08*,
Fond du Lac Credit Union,WI,$0.00,
Forest Park National Bank & Trust Co.,IL,$0.00,
Fort Financial Credit Union,IN,$0.00,
Forte Bank,WI,$0.00*,
Fortifi Bank,WI,,
Forum Credit Union,IN,$0.00,
Four Corners Community Bank,NM,$0.00,
Fowler State Bank,IN,,
Fox Communities Credit Union,WI,$0.00,
Frandsen Bank & Trust,MN,,
Frankenmuth Credit Union,MI,$0.00,
Franklin Savings Bank,NH,$2.25*,
Freedom Credit Union,PA,$0.00,CD
Friendship State Bank,IN,,
Frost Bank,TX,$5.00*,
Fulton Bank,PA,$2.00*,Other
FVCbank,VA,,
Gateway Bank,MN,$0.83*,
General Electric Credit Union,OH,$0.00,CD
Genisys Credit Union,MI,$0.00,
Genoa Bank,OH,,
German American Bank,IN,,
Glens Falls National Bank,NY,$0.00,
Global Credit Union,AK,$0.00*,
GPO Federal Credit Union,,$0.00,
Granite Credit Union,UT,$0.00,
Great Lakes Credit Union,IL,$0.00*,
Great River Federal Credit Union,MN,$0.00,
Great Southern Bank,MO,,
Greater Cincinnati Credit Union,OH,$0.00,
Greater Iowa Credit Union,IA,$2.00,
Greater Nevada Credit Union,NV,,
GreenState Credit Union,IA,,
Greenville Federal,OH,,
Grow Financial Federal Credit Union,FL,$0.00,
Guaranty Bank,MO,$0.00,
Guardian Credit Union,WI,,
Gulf Coast Educators Federal Credit Union,TX,$0.00,MF
Hardin County Savings Bank,IA,,
Harvest Bank,MN,$2.00*,
Harvesters Federal Credit Union,FL,$0.00,
HawaiiUSA FCU,HI,$1.00,
Health Advantage Credit Union,MI,,
HealthEquity,UT,$0.00,MF
Heartland Bank,KY,$4.00*,
Heartland Credit Union,KS,,CD
Heartland Credit Union,WI,,
Heritage Bank,MN,$0.00,
Heritage Community Bank,MO,$0.00,
Heritage Family Credit Union,VT,,
Heritage Federal Credit Union,IN,$0.00,
Heritage Valley Federal Credit Union,PA,$0.00,
Hiawatha National Bank,WI,,
Hibernia Bank,LA,$5.00*,
Hickory Point Bank,IL,$0.00,
High Plains Bank,CO,$0.00,
Hilltop Bank,WY,$3.00,
Holy Rosary Credit Union,NH,$0.00,
Home Federal Bank,TN,$0.00,
Home State Bank,MN,,
Hometown Community Banks,IL,$2.08*,
Honor Credit Union,MI,,CD
Hoosier Hills Credit Union,IN,,
Horicon Bank,WI,,
Horizon Bank,IN,$0.00,
Houston Federal Credit Union,TX,,
HSA Bank,WI,$0.00,MF SDB
HSA Central,,$2.50*,MF SDB
Hudson Valley Federal Credit Union,NY,$0.00,
Hughes Federal Credit Union,AZ,$0.00,
i3 Bank,NE,$0.00,
IAA Credit Union,IL,$0.00,CD
Ideal Credit Union,MN,$0.00,
IH Mississippi Valley Credit Union,IL,$0.00,
INB,IL,$0.00,
Incredible Bank,WI,$0.00,
Independence State Bank,WI,$0.00,
Independent Bank,MI,$0.00,MF
Indiana Members Credit Union,IN,$0.00,MF CD
Inova Federal Credit Union,IN,$0.00,
Inspira Financial,IL,$2.00*,MF Other
Interior Federal Credit Union,VA,$0.00,
Interra Credit Union,IN,$0.00,CD
Intrust Bank,KS,$2.50*,
Ion Bank,CT,$0.00,
Iowa Falls State Bank,IA,,
Iowa State Bank,IA,,
Isabella Bank,MI,$0.00,
Itasca Bank & Trust Co.,IL,$10.00*,MF
iTHINK Financial Credit Union,FL,,CD
Jackson County Bank,IN,,MF
Johnson Bank,WI,,
Jones Bank,NE,$2.00*,
Juniata Valley Bank,PA,$0.00,
Kalsee Credit Union,MI,,
Kaw Valley State Bank & Trust Company,KS,$0.00*,
Kearny Bank,NJ,,
Kellogg Community Credit Union,MI,,
Kemba Credit Union,OH,$0.00,CD
KEMBA Financial Credit Union,OH,,
Kennebec Savings Bank,ME,$0.00,
Key Community Bank,MN,$3.00,
KeyBank,OH,$0.00,MF
KeyPoint Credit Union,CA,,
Killbuck Savings Bank,OH,$3.00,
Kinecta Federal Credit Union,CA,$0.00,
Kingston National Bank,OH,$3.00,
Kitsap Bank,WA,$0.00*,
Knoxville TVA Employees Credit Union,TN,$0.00,CD
Kohler Credit Union,WI,,
KV Federal Credit Union,ME,,CD
Ladysmith Federal,WI,$0.00*,
LAFCU,MI,$0.00,CD
Lake City Bank,IN,$0.00,CD
Lake Community Bank,MN,,
Lake Elmo Bank,MN,$3.00*,
Lake Michigan Credit Union,MI,$0.00,MF
Lake Ridge Bank,WI,$0.00,
Lakeside Bank,LA,$0.00*,
Landmark Bank,LA,,
Landmark Credit Union,WI,$0.00,
Lane Health,PA,PEPM varies based on size of account,MF
LCNB National Bank,OH,$3.00*,
Lead Bank,MO,,
Legacy Bank,KS,$0.00*,
Legends Bank,TN,,
Levo Credit Union,SD,$0.00,
Liberty Bank,CT,$0.00,
Liberty Federal Credit Union,IN,$0.00,CD
Lincoln Federal Savings Bank,NE,,
Lincoln Savings Bank,IA,$0.00,
Linn Area Credit Union,IA,$0.00,
Litchfield Bancorp,CT,$0.00,
Lively,CA,$0.00,MF SDB
Logansport Savings Bank,IN,$0.00,CD
Los Angeles Federal Credit Union,CA,,
Louisiana National Bank,LA,$2.99,
Luana Savings Bank,IA,,
Luminate Bank,MN,,
M&F Bank,NC,$4.00*,
Macatawa Bank,MI,$0.00,MF
Madison County Bank,NE,$0.00,
Magnifi Financial,MN,$0.00,
Main Street Bank,OH,$0.00,
Maine Community Bank,ME,$0.00,
Maine Family Federal Credit Union,ME,$0.00,
Maine Highlands Federal Credit Union,ME,$0.00,
Maine Savings Federal Credit Union,ME,,
Manasquan Bank,NJ,$0.00,
Maquoketa State Bank,IA,$3.00,
Marion County Bank,IA,$1.25*,CD
Marquette Bank,IL,,
Marshfield Medical Center Credit Union,WI,,
MassMutual,MA,$1.95,MF
MassMutual Federal Credit Union,MA,$0.00,
Matadors Community Credit Union,CA,$3.00,
Mayo Employees Federal Credit Union,MN,,
McHenry Savings Bank,IL,$0.00,
MECE Credit Union,MO,$0.00,CD
Mechanics Bank,CA,$3.00,
MEDSURETY,MN,,MF
Meijer Credit Union,MI,$0.00,
Members 1st Federal Credit Union,PA,$0.00,
Members Cooperative Credit Union,MN,,
Members' Advantage Credit Union,WI,,
Mercantile Bank,MI,$5.00*,MF CD
Merchants Bank,MN,,CD
Meredith Village Savings Bank,NH,,
Meritus Credit Union,LA,$0.00,
Metropolitan Bank,CA,$3.50*,
Michigan Schools & Government Credit Union,MI,$0.00,
Michigan State University Federal Credit Union,MI,$0.00,CD
Mid America Bank,KS,,
Mid American Credit Union,KS,$0.00,CD
Mid Country Bank,MN,$3.00*,
Midland States Bank,IL,$2.00*,
Midwest Bank,NE,$0.00*,
Midwest Bank,IL,$3.00*,
Midwest Bank,MN,$2.00*,CD
Minnco Credit Union,MN,,
Minster Bank,OH,$0.00*,
Mid Minnesota Federal Credit Union,MN,,
Montecito Bank & Trust,CA,$3.00*,
Monterra Credit Union,CA,,
Montgomery Bank,MO,$2.00,
Mound City Bank,WI,$0.00,
Mountain Credit Union,NC,,
MRV Banks,MO,$0.00,
Multipli Credit Union,MO,$0.00,
Mutual 1st Federal Credit Union,NE,$2.08*,
Mutual Security Credit Union,CT,$0.00,
MVB Bank,WV,,
MyPoint Credit Union,CA,,
MyUSA Credit Union,OH,,
NASA Federal Credit Union,DC,$0.00,CD
NBT Bank,NY,,CD
Neighborhood National Bank,MN,,
New Direction Trust Company,CO,$16.25*,MF SDB CD Other
Newtown Savings Bank,CT,$0.00,
Nicolet National Bank,WI,,
Nodaway Valley Bank,MO,$0.00,
North American Banking Company,MN,$3.00*,
North Coast Credit Union,WA,$0.00,
North Salem State Bank,IN,$0.00,
North Shore Bank,WI,$0.00,
North Star Bank,MN,$0.00,
NorthCountry Federal Credit Union,VT,$0.00,CD
Northeast Bank,MN,$5.00*,
Northeast Bank,ME,$0.00,
Northfield Savings Bank,VT,$0.00,
Northpointe Bank,MI,$0.00,
Northview Bank,MN,$2.00,
Northwest Bank,PA,$3.00*,
Northwest Bank,IA,$3.00*,
Northwest Community Bank,CT,$0.00,
Northwestern Bank,WI,,
Northwestern Bank,IA,$0.00,
Northwoods Bank,MN,$2.00*,
Northwoods Credit Union,MN,$1.00*,
Norway Savings Bank,ME,$0.00,
Notre Dame Federal Credit Union,IN,$0.00,
NSB Bank,IA,$2.00,
Nutmeg State Financial Credit Union,CT,$0.00,
O'Bannon Bank,MO,,
Oak Valley Community Bank,CA,$2.50*,
Ohio Valley Bank,OH,$0.00*,
Old Fort Banking,OH,$0.00*,
Olympia Federal Savings,WA,$0.00,
Omnify,NE,,MF
One Credit Union,VT,,
OneUnited Federal Credit Union,NE,$2.00,
OnPoint Community Credit Union,OR,$2.08*,
Optum Bank,UT,,MF
Oregon State Credit Union,OR,$0.00,
Origin Bank,LA,$0.00,
OUR Credit Union,MI,,
Paducah Bank,KY,,
Park Bank,WI,,
Park City Credit Union,WI,$0.00,
Park Community Credit Union,KY,$0.00,
Park National Bank,OH,$0.00,Other
Park State Bank,MN,$2.50,
Park View Federal Credit Union,VA,$0.00,
Partners 1st FCU,IN,$0.00,
Passumpsic Bank,VT,,
Patelco Credit Union,CA,$2.00*,
Pathfinder Bank,NY,$0.00,
Pathways Financial Credit Union,OH,$0.00,MF CD
Patriot Bank,CT,,
PCM Credit Union,WI,,
Pen Air Federal Credit Union,FL,$0.00,
Pennian Bank,PA,,
Peoples Bank - (NC),NC,,
Peoples Bank - IA,IA,$1.99 + tax,
Peoples Bank,OH,$0.00*,
Peoples Bank,WA,$3.00,
Peoples Exchange Bank,KY,$0.00,
Peoples National Bank,IL,$0.00,CD
Peoples Savings Bank,MO,,
Peoples State Bank,WI,,
Peshtigo National Bank,WI,,
Piedmont Advantage Credit Union,NC,,
Piedmont Federal Bank,NC,$0.00,CD
Pinnacle Bank,GA,,
Pinnacle Bank,NE,$0.00*,MF
Pinnacle Financial Partners,TN,$0.00,MF
Pioneer Bank,MN,$1.67*,
Pioneer Federal Credit Union,ID,$1.67*,
Piscataqua Savings Bank,NH,$0.00,
PNC,PA,$2.50*,MF
Port Washington State Bank,WI,$0.00,
Portage Community Bank,OH,$0.00,
Power Financial Credit Union,FL,,
Premier Bank,OH,$2.00*,
Premier Bank (IA),IA,$2.50*,MF
Premier Banks,MN,,
PremierOne Credit Union,CA,,
Primary Bank,NH,$0.00,
Prime Alliance Bank,UT,$0.00,
Primebank,IA,,
PrimeSouth Bank,GA,$0.00,
PrinsBank,MN,$1.25,
ProFed Federal Credit Union,IN,$0.00,
Profinium,MN,$2.50*,
ProGrowth Bank,MN,$0.00*,
Providence Bank & Trust,IL,$0.00,
Provident Credit Union,CA,$2.00*,CD
Purdue Federal Credit Union,IN,$0.00,CD
PyraMax Bank,WI,$0.00,
QNB Bank,PA,$0.00,
R Bank,TX,$0.00,
Radiant Credit Union,FL,$0.00,
RCB Bank,OK,$2.08*,
Red River Credit Union,TX,$2.08*,
Redwood Credit Union,CA,$1.00*,
Reliance State Bank,IA,$0.42*,
Reliant Credit Union,NY,$0.00,
Renasant Bank,MS,$0.00*,
Republic Bank,KY,$0.00,
Resource Bank,LA,$0.00,
Richwood Bank,OH,,
River Valley Community Bank,CA,$5.00*,
River Valley Credit Union,MI,,
Riverland Federal Credit Union,LA,$0.00,
Rivermark Community Credit Union,OR,$2.00,
RiverWood Bank,MN,$2.00*,
Rolling Hills Bank & Trust,IA,$0.00,
Royal Bank,WI,,
Royal Credit Union,WI,$0.00,CD
Salt City Federal Credit Union,NY,$0.00,
Saturna Capital,WA,$0.00*,MF SDB
Savings Bank of Mendocino County,CA,$3.00*,
Scott Credit Union,IL,$0.00,
Seacoast Bank,FL,$0.00,
SeaComm Federal Credit Union,NY,,
Seasons Federal Credit Union,CT,$0.00,
SECNY Federal Credit Union,NY,$0.00,
Security Bank,IL,,
Security Bank,NE,$2.08*,
Security Bank & Trust Co.,MN,$2.00*,
Security Bank of Kansas City,KS,$5.00*,
Security Bank USA,MN,,
Security Federal Bank,SC,$0.00,
Security Financial Bank,WI,$0.00,
Security First Bank,SD,$0.00,
Security State Bank,WA,$2.50*,
SELCO Community Credit Union,OR,$0.00,
Self-Help Credit Union,NC,,
SelfcareHSA,ID,$3.00*,MF
Sentry Bank,MN,,
Service 1st Federal Credit Union,,$0.00,
SF Fire Credit Union,CA,$2.00,
Sharonview Federal Credit Union,SC,,
Shelby State Bank,MI,,
Shell Lake State Bank,WI,,
Sherwood State Bank,OH,$0.00,
Sidney Federal Credit Union,NY,,CD
Signature Bank of Arkansas,AR,$0.00,
Sikorsky Credit Union,CT,$0.00,
Simmons Bank,AR,$3.00,
Skyline National Bank,VA,$0.00,
SmartBank,TN,$0.00,
Solutions Bank,IL,,
Solvay Bank,NY,$1.75*,
Sound Community Bank,WA,$1.00*,
Sound Credit Union,WA,,
Sound Federal Credit Union,CT,$0.00,
South Central Bank,KY,$0.00,
South Metro Federal Credit Union,MN,,CD
South State Bank,SC,$3.00,
SouthEast Bank,TN,$0.83*,
Southeastern Credit Union,GA,$0.00,
Southern Bank,MO,$0.00,
Southern Michigan Bank & Trust,MI,,
SouthPoint Financial Credit Union,MN,$0.83*,
Southwest Missouri Bank,MO,$0.00,
Space Coast Credit Union,FL,$0.00,
Spectrum Credit Union,CA,$0.00,
SpiritBank,OK,$1.25*,
Springs Valley Bank and Trust,IN,$3.50*,
SRI Federal Credit Union,CA,$0.00,
St. Mary's Bank,NH,$4.00*,
Stanford Federal Credit Union,CA,$0.00,
STAR Financial Bank,IN,$0.00*,
Starion Bank,ND,$0.00,
State Bank,IN,$3.00*,
State Bank,OH,$0.00,
State Bank & Trust Co,IA,$0.83*,
State Bank Financial,WI,,
State Employee's Credit Union,NC,,
State Savings Bank,IA,$0.00,CD
Sterling Bank,WI,,
Sterling Administration,CA,$2.50,SDB
Stillman Bank,IL,,
Stock Yards Bank & Trust,KY,$2.50*,MF CD
Success Bank,IA,$0.00,
Summit Credit Union,WI,,
Sunrise Bank,FL,$0.00,
SunWest Credit Union,CO,,
Superior Choice CU,WI,,
Superior Credit Union,OH,$0.00,
Synovus,GA,$3.00*,MF
Taylor Bank,MD,,
TBA Credit Union,MI,,
TBK Bank,CO,,
TBO Bank,MO,$0.00,
Team One Credit Union,MI,,
Tech Credit Union,IN,$0.00,
Technology Credit Union,CA,$0.00,
Telcoe Federal Credit Union,AR,$0.00*,
TelComm Credit Union,MO,,CD
Telhio Credit Union,OH,,CD
Tennessee Valley Federal Credit Union,TN,$3.00,
Texas Advantage Community Bank,TX,,
TexasBank,TX,$1.67*,
Texell Credit Union,TX,$0.00,
The Adirondack Trust Company,NY,$4.00*,
The Bank of Bennington,VT,,
The Bank of Elk River,MN,$0.00*,
The Bank of Glen Ullin,ND,$2.08*,
The Bank of Missouri,MO,,
The Bank of Wisconsin Dells,WI,$3.00*,
The Callaway Bank,MO,,
The County Federal Credit Union,ME,$0.00,
The Farmers Bank,IN,,
The First National Bank in Tremont,IL,,
The First National Bank of Dennison,OH,$0.00,
The FNB Community Bank,IL,,
The Murray Bank,KY,,
The Napoleon State Bank,IN,$3.00*,
The Northumberland National Bank,PA,$0.00,
The State Bank,MI,$2.00*,
The Summit Federal Credit Union,NY,$0.00,
Think Bank,MN,,
Thomaston Savings Bank,CT,$0.00,
Three Rivers Bank,MT,$0.00,
Tigers Community Credit Union,MO,$0.00,
Timberline Bank,CO,$4.00*,
